AA	NNP
AAA	NNP
ABCP	NNP
ABF	NNP
ABMI	NNP
ABS	NNP
ACWI	NNP
ADB	NNP
AF	NNP
AI	NNP
AIIB	NNP
AMF	NNP
AML	NNP
AMRO	NNP
APEC	NNP
ASEAN	NNP
ASF	NNP
ATM	NNP
AU	NNP
BA	NNP
BANK	NNP
BB	NNP
BBB	NNP
BCBS	NNP
BCH	NNP
BIS	NNP
BMI	NNP
BOK	NNP
BOP	NNP
BPS	NNP
BSI	NNP
BTG	NNP
BW	NNP
CACREL	NNP
CAMEL	NNP
CASH	NNP
CB	NNP
CBO	NNP
CBOE	NNP
CC	NNP
CCC	NNP
CCF	NNP
CCP	NNP
CCSI	NNP
CD	NNP
CDO	NNP
CDS	NNP
CEU	NNP
CFC	NNP
CFTC	NNP
CHF	NNP
CI	NNP
CIC	NNP
CLN	NNP
CLO	NNP
CLS	NNP
CMA	NNP
CME	NNP
CMI	NNP
CMIM	NNP
CMO	NNP
CMS	NNP
COFIX	NNP
COMESA	NNP
COP	NNP
CP	NNP
CPI	NNP
CPMI	NNP
CPSS	NNP
CRA	NNP
CSD	NNP
CSI	NNP
CSS	NNP
DC	NNP
DLS	NNP
DLT	NNP
DNA	NNP
DOJ	NNP
DP	NNP
DSR	NNP
DTA	NNP
DTI	NNP
DVP	NNP
DebtRank	NNG
EAD	NNP
EB	NNP
EBRD	NNP
EC	NNP
ECB	NNP
ED	NNP
EDI	NNP
EDP	NNP
EIB	NNP
EL	NNP
ELD	NNP
ELF	NNP
ELS	NNP
EMBI	NNP
EMEAP	NNP
EMI	NNP
EMU	NNP
EP	NNP
EPS	NNP
ERAB	NNP
ERPD	NNP
ESI	NNP
ESM	NNP
ETF	NNP
EU	NNP
EUR	NNP
FAX	NNP
FCA	NNP
FDI	NNP
FDIC	NNP
FEIS	NNP
FLAR	NNP
FOB	NNP
FOMC	NNP
FRB	NNP
FRN	NNP
FRS	NNP
FSB	NNP
FSF	NNP
FT	NNP
FTA	NNP
FTC	NNP
FTP	NNP
FTSE	NNP
FX	NNP
GATT	NNP
GBP	NNP
GCF	NNP
GDP	NNP
GEF	NNP
GNDI	NNP
GNI	NNP
GVC	NNP
HHI	NNP
IASB	NNP
IBA	NNP
IBRD	NNP
IC	NNP
ICMA	NNP
ICO	NNP
ID	NNP
IDA	NNP
IDE	NNP
IFRS	NNP
IIP	NNP
ILC	NNP
ILO	NNP
IMD	NNP
IMF	NNP
IOER	NNP
IOSCO	NNP
IP	NNP
IPO	NNP
IRS	NNP
ISA	NNP
ISO	NNP
IT	NNP
JPY	NNP
KI	NNP
KIC	NNP
KIKO	NNP
KO	NNP
KODEX	NNP
KOREA	NNP
